Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2008-09-04, Redskins, 84, 24, 125, 27, 15, 7, 35, 0, 0, 11, 13, 3, 2, 1, 1457, 7, Giants, 154, 32, 200, 35, 19, 7, 70, 0, 1, 21, 14, 7, 0, 0, 2143, 16
2008-09-07, Bengals, 70, 24, 84, 24, 9, 5, 40, 1, 1, 8, 13, 2, 2, 0, 1425, 10, Ravens, 229, 46, 129, 29, 15, 9, 64, 2, 0, 21, 17, 9, 1, 0, 2175, 17
2008-09-07, Bears, 183, 39, 136, 21, 13, 7, 60, 0, 0, 17, 16, 10, 0, 0, 1904, 29, Colts, 53, 15, 240, 49, 30, 6, 40, 1, 0, 23, 11, 5, 2, 0, 1696, 13
2008-09-07, Rams, 36, 15, 130, 26, 14, 9, 66, 0, 0, 8, 11, 0, 0, 0, 1490, 3, Eagles, 108, 32, 414, 39, 26, 4, 41, 0, 0, 28, 14, 8, 0, 0, 2110, 38
2008-09-07, Seahawks, 85, 21, 167, 41, 17, 5, 30, 1, 1, 16, 16, 3, 1, 0, 1721, 10, Bills, 106, 29, 232, 31, 20, 1, 14, 0, 0, 13, 16, 4, 1, 1, 1879, 34
2008-09-07, Chiefs, 102, 27, 182, 31, 19, 2, 15, 0, 1, 14, 16, 8, 1, 0, 1811, 10, Patriots, 126, 28, 212, 29, 20, 3, 30, 2, 0, 18, 13, 7, 0, 0, 1789, 17
2008-09-07, Lions, 70, 21, 246, 33, 24, 5, 30, 0, 1, 21, 9, 2, 0, 0, 1853, 21, Falcons, 318, 42, 156, 13, 9, 7, 68, 0, 0, 23, 9, 3, 0, 0, 1747, 34
2008-09-07, Panthers, 142, 29, 246, 41, 23, 6, 29, 1, 0, 20, 15, 5, 2, 1, 1922, 26, Chargers, 105, 27, 211, 27, 17, 2, 12, 1, 0, 17, 12, 4, 1, 1, 1678, 24
2008-09-07, Buccaneers, 146, 20, 206, 41, 24, 7, 66, 0, 1, 18, 12, 2, 1, 0, 1708, 20, Saints, 101, 27, 337, 32, 23, 7, 51, 0, 1, 16, 13, 5, 0, 0, 1892, 24
2008-09-07, Cowboys, 167, 31, 320, 32, 24, 11, 82, 0, 1, 30, 11, 8, 1, 1, 2249, 28, Browns, 91, 18, 114, 24, 11, 9, 55, 0, 0, 11, 9, 3, 0, 0, 1351, 10
