Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2009-09-10, Titans, 86, 25, 234, 35, 22, 5, 28, 1, 1, 18, 13, 4, 0, 0, 1701, 10, Steelers, 36, 23, 321, 43, 33, 6, 60, 1, 2, 19, 14, 4, 0, 0, 2171, 13
2009-09-13, Dolphins, 96, 22, 163, 30, 21, 4, 27, 3, 1, 16, 11, 4, 1, 1, 1747, 7, Falcons, 68, 27, 213, 36, 22, 4, 35, 0, 0, 19, 15, 6, 0, 0, 1853, 19
2009-09-13, Jaguars, 114, 26, 114, 28, 14, 3, 24, 0, 0, 12, 15, 6, 2, 1, 1564, 12, Colts, 71, 31, 294, 38, 28, 3, 17, 1, 1, 21, 14, 8, 2, 0, 2036, 14
2009-09-13, Vikings, 225, 37, 85, 22, 14, 3, 38, 0, 0, 19, 14, 6, 0, 0, 2002, 34, Browns, 89, 20, 179, 35, 21, 8, 66, 1, 1, 17, 12, 3, 1, 0, 1598, 20
2009-09-13, Broncos, 75, 20, 227, 28, 17, 6, 39, 0, 0, 10, 12, 3, 0, 0, 1593, 12, Bengals, 86, 27, 221, 33, 21, 4, 27, 0, 2, 16, 15, 5, 2, 1, 2007, 7
2009-09-13, Cowboys, 118, 24, 344, 27, 16, 4, 41, 0, 0, 18, 10, 3, 0, 0, 1588, 34, Buccaneers, 174, 31, 276, 42, 25, 3, 15, 0, 0, 26, 13, 5, 2, 1, 2012, 21
2009-09-13, 49ers, 21, 25, 182, 31, 18, 4, 31, 1, 0, 13, 18, 7, 0, 0, 1897, 20, Cardinals, 40, 17, 259, 44, 26, 12, 82, 0, 2, 17, 14, 4, 1, 0, 1703, 16
2009-09-13, Rams, 77, 18, 170, 36, 17, 10, 85, 1, 0, 13, 12, 2, 1, 0, 1653, 0, Seahawks, 167, 34, 279, 36, 25, 4, 25, 1, 2, 25, 15, 8, 0, 0, 1947, 28
2009-09-13, Chiefs, 29, 17, 159, 24, 16, 3, 15, 0, 0, 11, 10, 2, 2, 1, 1211, 24, Ravens, 198, 41, 303, 43, 26, 8, 65, 0, 1, 32, 17, 10, 1, 1, 2389, 38
2009-09-13, Redskins, 85, 21, 187, 26, 19, 4, 32, 1, 1, 15, 12, 5, 1, 1, 1432, 17, Giants, 103, 31, 248, 29, 20, 4, 30, 1, 1, 18, 13, 6, 1, 0, 2168, 23
2009-09-13, Lions, 33, 20, 198, 37, 16, 8, 80, 0, 3, 14, 14, 3, 2, 2, 1410, 27, Saints, 157, 35, 358, 34, 26, 7, 36, 2, 1, 28, 13, 9, 0, 0, 2190, 45
2009-09-13, Bears, 86, 31, 266, 36, 17, 3, 25, 0, 4, 18, 15, 4, 3, 1, 1983, 15, Packers, 76, 22, 150, 28, 17, 6, 45, 0, 0, 12, 14, 4, 0, 0, 1617, 21
2009-09-13, Eagles, 185, 32, 82, 29, 17, 9, 76, 1, 1, 17, 13, 5, 2, 1, 1897, 38, Panthers, 86, 30, 83, 34, 14, 5, 30, 2, 5, 14, 16, 3, 3, 2, 1703, 10
2009-09-13, Jets, 190, 42, 272, 31, 18, 10, 80, 0, 1, 22, 18, 10, 2, 2, 2326, 24, Texans, 38, 13, 145, 33, 18, 6, 37, 1, 1, 11, 10, 3, 1, 0, 1274, 7
2009-09-14, Chargers, 77, 23, 240, 36, 24, 9, 60, 1, 1, 19, 12, 5, 0, 0, 1703, 24, Raiders, 148, 32, 218, 32, 14, 6, 40, 1, 2, 19, 14, 7, 1, 1, 1897, 20
2009-09-14, Bills, 90, 19, 186, 25, 15, 9, 71, 1, 0, 17, 10, 4, 1, 1, 1372, 24, Patriots, 73, 23, 368, 53, 39, 6, 55, 0, 1, 28, 16, 10, 2, 0, 2228, 25
2009-09-20, Texans, 63, 29, 357, 39, 25, 6, 40, 0, 0, 19, 16, 5, 2, 2, 2043, 34, Titans, 240, 25, 209, 33, 21, 8, 64, 1, 1, 19, 11, 5, 1, 0, 1557, 31
2009-09-20, Saints, 133, 29, 288, 34, 25, 3, 13, 0, 1, 23, 13, 6, 1, 0, 1826, 48, Eagles, 79, 22, 384, 52, 31, 7, 45, 1, 3, 23, 16, 7, 2, 1, 1774, 22
2009-09-20, Giants, 97, 26, 330, 38, 25, 4, 40, 0, 0, 19, 15, 6, 0, 0, 2089, 33, Cowboys, 251, 29, 127, 29, 13, 4, 50, 1, 3, 23, 11, 6, 0, 0, 1511, 31
2009-09-20, Ravens, 130, 32, 181, 27, 18, 4, 32, 0, 1, 22, 11, 4, 0, 0, 1721, 31, Chargers, 53, 21, 421, 45, 25, 12, 85, 0, 2, 20, 16, 7, 2, 1, 1879, 26
2009-09-20, Buccaneers, 57, 19, 296, 50, 26, 13, 112, 0, 2, 19, 16, 4, 4, 3, 1827, 20, Bills, 218, 35, 220, 31, 21, 7, 55, 1, 1, 25, 12, 4, 1, 1, 1773, 33
2009-09-20, Patriots, 83, 20, 216, 47, 23, 11, 89, 0, 1, 18, 15, 5, 1, 0, 1850, 9, Jets, 117, 31, 137, 22, 14, 8, 55, 1, 0, 14, 11, 3, 0, 0, 1750, 16
2009-09-20, Bengals, 151, 34, 168, 23, 15, 13, 100, 0, 2, 19, 14, 9, 0, 0, 2028, 31, Packers, 89, 18, 222, 39, 21, 11, 76, 1, 0, 22, 13, 6, 0, 0, 1572, 24
2009-09-20, Steelers, 105, 22, 203, 35, 23, 6, 52, 1, 1, 21, 12, 6, 1, 1, 1826, 14, Bears, 44, 17, 231, 38, 27, 10, 80, 0, 0, 17, 14, 7, 0, 0, 1774, 17
2009-09-20, Cardinals, 118, 28, 265, 32, 27, 7, 58, 2, 0, 22, 9, 2, 1, 1, 1881, 31, Jaguars, 92, 20, 280, 43, 23, 8, 50, 2, 1, 18, 16, 6, 2, 1, 1719, 17
2009-09-20, Rams, 126, 21, 119, 28, 15, 6, 45, 1, 0, 14, 12, 6, 1, 0, 1507, 7, Redskins, 125, 33, 237, 36, 23, 5, 35, 1, 0, 21, 15, 7, 2, 1, 2093, 9
2009-09-20, Vikings, 112, 25, 153, 28, 24, 5, 43, 1, 0, 18, 11, 3, 1, 1, 1775, 27, Lions, 129, 34, 136, 30, 18, 6, 45, 1, 2, 17, 13, 5, 2, 2, 1825, 13
2009-09-20, Raiders, 67, 25, 99, 24, 7, 7, 45, 0, 0, 11, 13, 3, 0, 0, 1281, 13, Chiefs, 173, 38, 236, 39, 24, 9, 70, 0, 2, 25, 15, 5, 3, 2, 2319, 10
2009-09-20, Browns, 54, 21, 146, 31, 18, 4, 43, 2, 1, 11, 14, 3, 0, 0, 1636, 6, Broncos, 186, 37, 263, 37, 19, 5, 50, 1, 0, 25, 15, 8, 1, 0, 1964, 27
