Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2006-09-07, Dolphins, 38, 18, 240, 37, 18, 6, 63, 0, 2, 15, 13, 5, 1, 0, 1473, 17, Steelers, 146, 38, 196, 25, 15, 1, 10, 1, 0, 20, 15, 7, 1, 1, 2127, 28
2006-09-10, Jets, 91, 34, 302, 33, 24, 8, 53, 2, 0, 24, 13, 4, 0, 0, 2042, 23, Titans, 86, 25, 242, 42, 20, 8, 70, 0, 3, 22, 13, 5, 2, 1, 1558, 16
2006-09-10, Saints, 156, 41, 170, 30, 16, 6, 44, 1, 1, 17, 18, 9, 1, 0, 1966, 19, Browns, 85, 22, 101, 27, 16, 4, 35, 1, 2, 15, 12, 5, 0, 0, 1634, 14
2006-09-10, Seahawks, 91, 26, 173, 30, 25, 8, 55, 1, 0, 17, 11, 2, 0, 0, 1945, 9, Lions, 38, 17, 213, 37, 21, 7, 61, 1, 0, 15, 14, 5, 0, 0, 1655, 6
2006-09-10, Ravens, 103, 34, 168, 27, 17, 4, 25, 0, 0, 16, 14, 5, 0, 0, 2149, 27, Buccaneers, 26, 13, 116, 34, 18, 3, 21, 0, 3, 8, 12, 3, 1, 0, 1451, 0
2006-09-10, Bengals, 116, 34, 120, 19, 13, 5, 40, 1, 0, 12, 13, 4, 0, 0, 1683, 23, Chiefs, 113, 25, 176, 35, 23, 5, 40, 2, 1, 18, 15, 5, 4, 3, 1917, 10
2006-09-10, Broncos, 161, 25, 98, 26, 13, 4, 30, 2, 3, 17, 12, 5, 1, 1, 1631, 10, Rams, 125, 28, 195, 34, 18, 10, 94, 0, 0, 16, 15, 3, 0, 0, 1969, 18
2006-09-10, 49ers, 107, 18, 286, 40, 23, 8, 62, 2, 0, 19, 9, 0, 2, 2, 1498, 27, Cardinals, 84, 29, 283, 37, 23, 11, 85, 1, 0, 23, 14, 7, 0, 0, 2102, 34
2006-09-10, Bills, 99, 24, 141, 23, 15, 7, 53, 0, 0, 12, 11, 3, 1, 0, 1625, 17, Patriots, 183, 41, 136, 23, 11, 1, 5, 1, 1, 19, 13, 5, 2, 2, 1975, 19
2006-09-10, Eagles, 130, 30, 311, 35, 24, 5, 51, 0, 1, 24, 13, 8, 0, 0, 1971, 24, Texans, 70, 20, 171, 27, 18, 3, 20, 0, 0, 19, 11, 3, 2, 1, 1629, 10
