Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2005-09-08, Raiders, 92, 22, 246, 39, 18, 16, 149, 1, 1, 19, 13, 4, 0, 0, 1660, 20, Patriots, 73, 31, 306, 38, 24, 7, 46, 0, 0, 22, 16, 6, 1, 0, 1940, 30
2005-09-11, Cardinals, 31, 21, 287, 56, 32, 10, 53, 0, 2, 20, 19, 8, 1, 0, 2145, 19, Giants, 121, 25, 154, 23, 10, 7, 52, 0, 2, 14, 11, 4, 0, 0, 1455, 42
2005-09-11, Jets, 57, 23, 333, 44, 27, 8, 80, 2, 1, 19, 16, 8, 3, 1, 1889, 7, Chiefs, 198, 34, 191, 26, 15, 4, 26, 0, 1, 23, 10, 4, 0, 0, 1711, 27
2005-09-11, Bears, 41, 18, 125, 28, 15, 8, 86, 1, 1, 11, 13, 6, 0, 0, 1545, 7, Redskins, 164, 40, 159, 25, 14, 5, 45, 2, 1, 18, 16, 6, 1, 1, 2055, 9
2005-09-11, Buccaneers, 146, 31, 199, 29, 18, 13, 99, 0, 2, 12, 17, 8, 0, 0, 1834, 24, Vikings, 33, 15, 215, 33, 22, 9, 70, 2, 3, 15, 11, 5, 0, 0, 1766, 13
2005-09-11, Texans, 95, 23, 25, 21, 9, 6, 38, 2, 3, 12, 10, 3, 1, 1, 1305, 7, Bills, 152, 36, 164, 28, 17, 10, 71, 0, 0, 20, 14, 3, 1, 1, 2295, 22
2005-09-11, Seahawks, 97, 19, 228, 36, 21, 5, 29, 3, 2, 20, 9, 3, 0, 0, 1549, 14, Jaguars, 119, 31, 243, 32, 18, 6, 31, 0, 0, 18, 13, 4, 0, 0, 2051, 26
2005-09-11, Colts, 86, 26, 254, 36, 21, 7, 45, 0, 0, 19, 12, 3, 1, 0, 1629, 24, Ravens, 77, 21, 324, 54, 34, 8, 45, 1, 3, 22, 18, 8, 1, 1, 1971, 7
2005-09-11, Rams, 89, 26, 316, 56, 34, 7, 48, 0, 1, 26, 20, 8, 4, 4, 2363, 25, 49ers, 34, 21, 183, 18, 13, 5, 30, 2, 0, 12, 7, 1, 0, 0, 1237, 28
2005-09-11, Packers, 46, 17, 170, 44, 27, 14, 100, 1, 2, 13, 16, 5, 3, 1, 1864, 3, Lions, 102, 31, 152, 28, 15, 4, 38, 0, 0, 18, 15, 6, 1, 0, 1736, 17
